,Crop,Crop_Name,Start_Date,End_Date,Rotation
0,1,Bare soil,2025-03,2025-03,Rotation 1
1,6,Sugar beet,2025-04,2025-09,Rotation 1
2,1,Bare soil,2025-10,2025-12,Rotation 1
3,7,Winter Wheat,2026-01,2026-07,Rotation 1
4,1,Bare soil,2026-08,2027-04,Rotation 1
5,5,Potato,2027-05,2027-09,Rotation 1
6,1,Bare soil,2027-10,2027-12,Rotation 1
7,7,Winter Wheat,2028-01,2028-08,Rotation 1
8,1,Bare soil,2028-09,2029-04,Rotation 1
9,6,Sugar beet,2029-05,2029-11,Rotation 2
10,1,Bare soil,2029-12,2029-12,Rotation 2
11,7,Winter Wheat,2030-01,2030-08,Rotation 2
12,2,Cover crop,2030-09,2030-11,Rotation 2
13,1,Bare soil,2030-12,2031-04,Rotation 2
14,5,Potato,2031-05,2031-09,Rotation 2
15,1,Bare soil,2031-10,2031-12,Rotation 2
16,7,Winter Wheat,2032-01,2032-08,Rotation 2
17,1,Bare soil,2032-09,2033-04,Rotation 2
18,4,Maize,2033-05,2033-10,Rotation 3
19,1,Bare soil,2033-11,2033-12,Rotation 3
20,7,Winter Wheat,2034-01,2034-08,Rotation 3
21,2,Cover crop,2034-09,2034-10,Rotation 3
22,1,Bare soil,2034-11,2035-03,Rotation 3
23,5,Potato,2035-04,2035-08,Rotation 3
24,1,Bare soil,2035-09,2035-12,Rotation 3
25,7,Winter Wheat,2036-01,2036-07,Rotation 3
26,1,Bare soil,2036-08,2036-08,Rotation 3
27,2,Cover crop,2036-09,2036-11,Rotation 3
28,1,Bare soil,2036-12,2037-03,Rotation 3
29,6,Sugar beet,2037-04,2037-10,Rotation 4
30,1,Bare soil,2037-11,2037-12,Rotation 4
31,7,Winter Wheat,2038-01,2038-07,Rotation 4
32,1,Bare soil,2038-08,2038-08,Rotation 4
33,2,Cover crop,2038-09,2038-11,Rotation 4
34,1,Bare soil,2038-12,2039-04,Rotation 4
35,5,Potato,2039-05,2039-09,Rotation 4
36,1,Bare soil,2039-10,2039-12,Rotation 4
37,7,Winter Wheat,2040-01,2040-07,Rotation 4
38,2,Cover crop,2040-08,2040-11,Rotation 4
39,1,Bare soil,2040-12,2041-03,Rotation 4
